source,status,best_iou_to_2025,best_iou_to_2018
osm_2018,unchanged_candidate,0.9999712365518395,
osm_2018,unchanged_candidate,0.999849483937074,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9999001451040304,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9999960117361538,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9998887706339882,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9965736813836947,
osm_2018,changed_candidate,0.27690024218269726,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.7876182435472329,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.45379900440145504,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9964731179205776,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9998403114731089,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.734678512064865,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.8388832300997833,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.87298532572631,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.30007459702300215,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9935446342622545,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.6558891049737823,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.771477039060879,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9985688111688498,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9842025744355568,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9953960724291491,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,removed_candidate,0.0,
osm_2018,removed_candidate,0.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9896493233938641,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.33056743977713615,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.999993691789057,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.9722373904156393,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,changed_candidate,0.7430586793018834,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,removed_candidate,0.014421576658593248,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,removed_candidate,0.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,removed_candidate,0.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,0.978234987427048,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,unchanged_candidate,1.0,
osm_2018,removed_candidate,0.0,
osm_2018,unchanged_candidate,1.0,
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
osm_2025,new_candidate,,0.0
